Code DDD,Groupe DDD,Nom,description,lccs diagram,x,y,photo_plot,photo_planet
1,Forêt,Forêt Dense,"Forêt dense humide primaire sur terre ferme, >60% arborée",Ucl1,15.94936915,1.924033681,DJI_0015,pp1
2,Forêt,Forêt Dense Sèche,"Forêt dense, 30-60% couverture arborée avec des saisons sèches",Ucl2,15.95047773,1.923051747,DJI_0191,pp2
3,Forêt,Forêt Secondaire,"Forêt ouvert 30-60% couverture arborée, dégradée ou secondaire",Ucl3,15.94761377,1.921434807,DJI_0653,
4,Forêt,Forêt Claire Séche,"Forêt claire sèche 30-60% couverture arborée, avec des saisons sèches",Ucl4,13.25348211,5.24082234,IMG-20210324-WA0002,
5,Forêt,Forêt Sub-Montagnarde,"Forêt >30% de couverture arborée, 1100-1750m en altitude",Ucl5,8.842920827,4.657399675,IMG-20210324-WA0004,
6,Forêt,Forêt Montagnarde,"Forêt >30% de couverture arborée, >1750m en altitude",Ucl6,14.24447509,10.88047715,IMG-20210324-WA0006,
7,Forêt,Mangrove,"Forêt >30% de couverture arborée, sol hydromorphe",Ucl7,14.20173229,10.8850659,IMG-20210324-WA0007,
8,Forêt,Forêt Marécageuse,"Forêt marécageuse mixte >30% couverture arborée, sol inondée >9 mois",Ucl8,13.93176606,10.95539134,IMG-20210324-WA0009,
9,Forêt,Forêt galérie,"Foret ripicole en fond de vallée ou en bordure de rivière",Ucl9,15.42274138,10.56640046,Mangrove,
10,Forêt,Savane arborée,"Savane boisée 15-30% arboré",Ucl10,15.47478771,10.53423381,Mangrove2,
11,Non-Forêt,Savanes arbustive,"Savane >15% arbustive",Ucl11,15.07337471,4.289924766,Palmerai,
12,Non-Forêt,Prairie Aquatique,"Couverture herbacée aquatique ou régulièrement inondée",Ucl12,15.12280903,4.285971697,Surface en eau,
13,Non-Forêt,Sols nus - végétation éparse,<15% végétation,Ucl13,15.93735225,3.181544748,urbain,
14,Non-Forêt,Plantation forestière,"Couverture arborée >15% végétation cultivée/gérée",Ucl14,16.00042934,-0.5307557377,,
15,Non-Forêt,Terres Cultivées,"Couverture arbustive cultivée >15% arbustif",Ucl15,15.99456239,-0.4434614743,,
16,Non-Forêt,Zones bâties,"Présence humaine",Ucl16,14.1932278,1.405170293,,
17,Non-Forêt,Eau Libre,"Eau > 50%",Ucl17,11.57408374,1.963438621,,